IdDepartamento,Departamento,IdPais,CodigoDepartamento
1,AMAZONAS,193,01
2,ANCASH,193,02
3,APURIMAC,193,03
4,AREQUIPA,193,04
5,AYACUCHO,193,05
6,CAJAMARCA,193,06
7,CUSCO,193,08
8,HUANCAVELICA,193,09
9,HUANUCO,193,10
10,ICA,193,11
11,JUNIN,193,12
12,LA LIBERTAD,193,13
13,LAMBAYEQUE,193,14
14,LIMA,193,15
15,LORETO,193,16
16,MADRE DE DIOS,193,17
17,MOQUEGUA,193,18
18,PASCO,193,19
19,PIURA,193,20
20,PUNO,193,21
21,SAN MARTIN,193,22
22,TACNA,193,23
23,TUMBES,193,24
24,PROV. CONST. DEL CALLAO,193,07
25,UCAYALI,193,25