IdDocumentoIdentidad,DocumentoIdentidad,DocumentoIdentidadAbreviado
-,SIN DOCUMENTO,SIN DOCUMENTO
0,DOC.TRIB.NO.DOM.SIN.RUC,DOC. TRIB. NO DOM. SIN RUC
1,DOCUMENTO NACIONAL DE IDENTIDAD,DNI
4,CARNET DE EXTRANJERIA,CARNE EXT.
6,REGISTRO UNICO DE CONTRIBUYENTES,RUC
7,PASAPORTE,PASAPORTE
A,CEDULA DIPLOMATICA DE IDENTIDAD,C. DIPLOMAT. IDENT.
B,DOC.IDENT.PAIS.RESIDENCIA-NO.D,DOC.IDENT.PAIS.RESIDENCIA-NO.D
C,Tax Identification Number – TIN – Doc Trib PP.NN,TIN
D, Identification Number – IN – Doc Trib PP. JJ,IN