IdProvincia,Provincia,IdDepartamento,CodigoProvincia
1,CHACHAPOYAS,1,0101
2,BAGUA,1,0102
3,BONGARA,1,0103
4,LUYA,1,0105
5,RODRIGUEZ DE MENDOZA,1,0106
6,CONDORCANQUI,1,0104
7,UTCUBAMBA,1,0107
8,HUARAZ,2,0201
9,AIJA,2,0202
10,BOLOGNESI,2,0205
11,CARHUAZ,2,0206
12,CASMA,2,0208
13,CORONGO,2,0209
14,HUAYLAS,2,0212
15,HUARI,2,0210
16,MARISCAL LUZURIAGA,2,0213
17,PALLASCA,2,0215
18,POMABAMBA,2,0216
19,RECUAY,2,0217
20,SANTA,2,0218
21,SIHUAS,2,0219
22,YUNGAY,2,0220
23,ANTONIO RAYMONDI,2,0203
24,CARLOS FERMIN FITZCARRALD,2,0207
25,ASUNCION,2,0204
26,HUARMEY,2,0211
27,OCROS,2,0214
28,ABANCAY,3,0301
29,AYMARAES,3,0304
30,ANDAHUAYLAS,3,0302
31,ANTABAMBA,3,0303
32,COTABAMBAS,3,0305
33,GRAU,3,0307
34,CHINCHEROS,3,0306
35,AREQUIPA,4,0401
36,CAYLLOMA,4,0405
37,CAMANA,4,0402
38,CARAVELI,4,0403
39,CASTILLA,4,0404
40,CONDESUYOS,4,0406
41,ISLAY,4,0407
42,LA UNION,4,0408
43,HUAMANGA,5,0501
44,CANGALLO,5,0502
45,HUANTA,5,0504
46,LA MAR,5,0505
47,LUCANAS,5,0506
48,PARINACOCHAS,5,0507
49,VICTOR FAJARDO,5,0510
50,HUANCA SANCOS,5,0503
51,VILCAS HUAMAN,5,0511
52,PAUCAR DEL SARA SARA,5,0508
53,SUCRE,5,0509
54,CAJAMARCA,6,0601
55,CAJABAMBA,6,0602
56,CELENDIN,6,0603
57,CONTUMAZA,6,0605
58,CUTERVO,6,0606
59,CHOTA,6,0604
60,HUALGAYOC,6,0607
61,JAEN,6,0608
62,SANTA CRUZ,6,0613
63,SAN MIGUEL,6,0611
64,SAN IGNACIO,6,0609
65,SAN MARCOS,6,0610
66,SAN PABLO,6,0612
67,CUSCO,7,0801
68,ACOMAYO,7,0802
69,ANTA,7,0803
70,CALCA,7,0804
71,CANAS,7,0805
72,CANCHIS,7,0806
73,CHUMBIVILCAS,7,0807
74,ESPINAR,7,0808
75,LA CONVENCION,7,0809
76,PARURO,7,0810
77,PAUCARTAMBO,7,0811
78,QUISPICANCHIS,7,0812
79,URUBAMBA,7,0813
80,HUANCAVELICA,8,0901
81,ACOBAMBA,8,0902
82,ANGARAES,8,0903
83,CASTROVIRREYNA,8,0904
84,TAYACAJA,8,0907
85,HUAYTARA,8,0906
86,CHURCAMPA,8,0905
87,HUANUCO,9,1001
88,AMBO,9,1002
89,DOS DE MAYO,9,1003
90,HUAMALIES,9,1005
91,MARAÑON,9,1007
92,LEONCIO PRADO,9,1006
93,PACHITEA,9,1008
94,PUERTO INCA,9,1009
95,HUACAYBAMBA,9,1004
96,LAURICOCHA,9,1010
97,YAROWILCA,9,1011
98,ICA,10,1101
99,CHINCHA,10,1102
100,NAZCA,10,1103
101,PISCO,10,1105
102,PALPA,10,1104
103,HUANCAYO,11,1201
104,CONCEPCION,11,1202
105,JAUJA,11,1204
106,JUNIN,11,1205
107,TARMA,11,1207
108,YAULI,11,1208
109,SATIPO,11,1206
110,CHANCHAMAYO,11,1203
111,CHUPACA,11,1209
112,TRUJILLO,12,1301
113,BOLIVAR,12,1303
114,SANCHEZ CARRION,12,1309
115,OTUZCO,12,1306
116,PACASMAYO,12,1307
117,PATAZ,12,1308
118,SANTIAGO DE CHUCO,12,1310
119,ASCOPE,12,1302
120,CHEPEN,12,1304
121,JULCAN,12,1305
122,GRAN CHIMU,12,1311
123,VIRU,12,1312
124,CHICLAYO,13,1401
125,FERREÑAFE,13,1402
126,LAMBAYEQUE,13,1403
127,LIMA,14,1501
128,CAJATAMBO,14,1503
129,CANTA,14,1504
130,CAÑETE,14,1505
131,HUAURA,14,1508
132,HUAROCHIRI,14,1507
133,YAUYOS,14,1510
134,HUARAL,14,1506
135,BARRANCA,14,1502
136,OYON,14,1509
137,MAYNAS,15,1601
138,ALTO AMAZONAS,15,1602
139,LORETO,15,1603
140,REQUENA,15,1605
141,UCAYALI,15,1606
142,MARISCAL RAMON CASTILLA,15,1604
143,DATEM DEL MARAÑON,15,1607
144,TAMBOPATA,16,1701
145,MANU,16,1702
146,TAHUAMANU,16,1703
147,MARISCAL NIETO,17,1801
148,GENERAL SANCHEZ CERRO,17,1802
149,ILO,17,1803
150,PASCO,18,1901
151,DANIEL ALCIDES CARRION,18,1902
152,OXAPAMPA,18,1903
153,PIURA,19,2001
154,AYABACA,19,2002
155,HUANCABAMBA,19,2003
156,MORROPON,19,2004
157,PAITA,19,2005
158,SULLANA,19,2006
159,TALARA,19,2007
160,SECHURA,19,2008
161,PUNO,20,2101
162,AZANGARO,20,2102
163,CARABAYA,20,2103
164,CHUCUITO,20,2104
165,HUANCANE,20,2106
166,LAMPA,20,2107
167,MELGAR,20,2108
168,SANDIA,20,2112
169,SAN ROMAN,20,2111
170,YUNGUYO,20,2113
171,SAN ANTONIO DE PUTINA,20,2110
172,EL COLLAO,20,2105
173,MOHO,20,2109
174,MOYOBAMBA,21,2201
175,HUALLAGA,21,2204
176,LAMAS,21,2205
177,MARISCAL CACERES,21,2206
178,RIOJA,21,2208
179,SAN MARTIN,21,2209
180,BELLAVISTA,21,2202
181,TOCACHE,21,2210
182,PICOTA,21,2207
183,EL DORADO,21,2203
184,TACNA,22,2301
185,TARATA,22,2304
186,JORGE BASADRE,22,2303
187,CANDARAVE,22,2302
188,TUMBES,23,2401
189,CONTRALMIRANTE VILLAR,23,2402
190,ZARUMILLA,23,2403
191,PROV. CONST. DEL CALLAO,24,0701
192,CORONEL PORTILLO,25,2501
193,PADRE ABAD,25,2503
194,ATALAYA,25,2502
195,PURUS,25,2504